etID  | Input | Output {GOLD}
63     | #pʰej# | #pʰu# {GOLD: #pʰu#}
64     | #pʷɨ# | #wuk# {GOLD: #wuk#}
65     | #sam# | #sam# {GOLD: #sam#}
66     | #ma# | #mi# {GOLD: #mi#}
67     | #nir# | #nu# {GOLD: #nu#}
68     | #tʰaw# | #tʰow# {GOLD: #tʰow#}
69     | #ru# | #ruk# {GOLD: #ruk#}
70     | #ʃi# | #sik# {GOLD: #sik#}
71     | #sun# | #sɐŋ# {GOLD: #sɐŋ#}
72     | #kʰak# | #kʰoʔ# {GOLD: #kʰoʔ#}
73     | #kal# | #kel# {GOLD: #kej#}
74     | #wot# | #woʔ# {GOLD: #woʔ#}
75     | #ʃaŋ# | #so# {GOLD: #so#}
76     | #bʷɐm# | #vɐm# {GOLD: #vɐm#}
77     | #laːm# | #laːm# {GOLD: #lam#}
78     | #kʰa# | #kʰe# {GOLD: #kʰe#}
79     | #t͡sa# | #t͡se# {GOLD: #t͡se#}
80     | #tʰi# | #tʰik# {GOLD: #tik#}
81     | #wuːr# | #wuː# {GOLD: #wu#}
82     | #naj# | #nej# {GOLD: #nej#}
83     | #niŋ# | #nɐŋ# {GOLD: #nɐŋ#}
84     | #la# | #le# {GOLD: #le#}
85     | #hwa# | #we# {GOLD: #we#}
86     | #kʰaj# | #kʰej# {GOLD: #kʰu#}
87     | #prim# | #pɐm# {GOLD: #pem#}
88     | #si# | #sik# {GOLD: #sik#}
89     | #sum# | #sɐm# {GOLD: #suŋ#}
90     | #nam# | #nam# {GOLD: #nam#}
91     | #kʰɐm# | #kʰɐm# {GOLD: #kʰɐm#}
92     | #t͡sej# | #t͡su# {GOLD: #t͡su#}
93     | #ʃoŋ# | #so# {GOLD: #sɐŋ#}
94     | #ʃɐŋ# | #sɐŋ# {GOLD: #sɐŋ#}
95     | #ca# | #t͡se# {GOLD: #ce#}
96     | #ri# | #rik# {GOLD: #rik#}
97     | #t͡siŋ# | #t͡sɐŋ# {GOLD: #t͡sɐŋ#}
98     | #kum# | #kɐm# {GOLD: #kɐm#}
99     | #moj# | #mu# {GOLD: #mu#}
100    | #mej# | #mu# {GOLD: #mu#}
101    | #kʰut# | #kʰejʔ# {GOLD: #kʰuʔ#}
102    | #met# | #mejʔ# {GOLD: #mejʔ#}
103    | #dɨ# | #ruk# {GOLD: #ruk#}
104    | #lej# | #lu# {GOLD: #lu#}
105    | #pʰuŋ# | #pʰu# {GOLD: #pʰuŋ#}
106    | #luŋ# | #lu# {GOLD: #luŋ#}
107    | #t͡si# | #t͡sik# {GOLD: #t͡sik#}
108    | #ri# | #rik# {GOLD: #ri#}
109    | #ni# | #nik# {GOLD: #nik#}
110    | #tʰum# | #tʰɐm# {GOLD: #tʰɐm#}
111    | #tli# | #kik# {GOLD: #kik#}
112    | #ŋa# | #ŋi# {GOLD: #ni#}
113    | #ruk# | #ruʔ# {GOLD: #ruʔ#}
114    | #ni# | #nik# {GOLD: #nik#}
115    | #ʃɐt# | #sejʔ# {GOLD: #t͡sejʔ#}
116    | #ko# | #ku# {GOLD: #ku#}
117    | #ra# | #re# {GOLD: #re#}
118    | #kul# | #kɐŋ# {GOLD: #kɐn#}
119    | #ʃa# | #se# {GOLD: #se#}
120    | #ni# | #nik# {GOLD: #nik#}
121    | #hri# | #hik# {GOLD: #re#}
122    | #maːk# | #maːʔ# {GOLD: #maʔ#}
123    | #nɐŋ# | #nɐŋ# {GOLD: #nɐŋ#}
124    | #du# | #ruk# {GOLD: #ruk#}
125    | #naw# | #now# {GOLD: #now#}
126    | #ram# | #ram# {GOLD: #ram#}
127    | #maŋ# | #mo# {GOLD: #mo#}
128    | #miŋ# | #mɐŋ# {GOLD: #mɐŋ#}
129    | #na# | #ni# {GOLD: #ni#}
130    | #juŋ# | #ju# {GOLD: #juŋ#}
131    | #kaːp# | #kaːʔ# {GOLD: #kaʔ#}
132    | #tʰiŋ# | #tʰɐŋ# {GOLD: #tʰɐŋ#}
133    | #pʰaaŋ# | #pʰi# {GOLD: #pʰi#}
134    | #mot# | #moʔ# {GOLD: #moʔ#}
135    | #hwa# | #we# {GOLD: #we#}
136    | #ma# | #mi# {GOLD: #mi#}
137    | #waːr# | #waː# {GOLD: #va#}
138    | #hoj# | #hu# {GOLD: #hu#}
139    | #naŋ# | #no# {GOLD: #no#}
140    | #mɐ# | #mu# {GOLD: #mu#}
141    | #rwo# | #ju# {GOLD: #ju#}
142    | #kaj# | #kej# {GOLD: #kej#}
143    | #tʰej# | #tʰu# {GOLD: #tʰu#}
144    | #tʰej# | #tʰu# {GOLD: #tʰu#}
145    | #low# | #low# {GOLD: #low#}
146    | #ra# | #re# {GOLD: #re#}
147    | #t͡saŋ# | #t͡so# {GOLD: #t͡so#}
148    | #ʃok# | #suʔ# {GOLD: #suʔ#}
149    | #lej# | #lu# {GOLD: #lu#}
150    | #haːw# | #haːw# {GOLD: #haw#}
151    | #kup# | #kɐp# {GOLD: #kɐp#}
152    | #praj# | #pej# {GOLD: #pej#}
153    | #jaːm# | #jaːm# {GOLD: #jam#}
154    | #tʰum# | #tʰɐm# {GOLD: #tʰɐŋ#}
155    | #t͡sɐt# | #t͡sejʔ# {GOLD: #t͡sejʔ#}
156    | #bʷo# | #vu# {GOLD: #vu#}
157    | #loj# | #lu# {GOLD: #lo#}
158    | #ka# | #ke# {GOLD: #ke#}
159    | #sa# | #se# {GOLD: #se#}
160    | #mi# | #mik# {GOLD: #me#}
161    | #li# | #lik# {GOLD: #li#}
162    | #tʰat# | #tʰejʔ# {GOLD: #tʰejʔ#}
163    | #tat# | #kejʔ# {GOLD: #kejʔ#}
164    | #du# | #ruk# {GOLD: #ruk#}
165    | #dlek# | #leʔ# {GOLD: #leʔ#}
166    | #wok# | #wuʔ# {GOLD: #wuʔ#}
167    | #now# | #now# {GOLD: #now#}
168    | #row# | #row# {GOLD: #row#}
169    | #pʰa# | #pʰe# {GOLD: #pʰe#}
170    | #tʰaaw# | #tʰow# {GOLD: #tʰow#}
171    | #reŋ# | #re# {GOLD: #re#}
172    | #t͡si# | #t͡sik# {GOLD: #t͡sik#}
173    | #da# | #re# {GOLD: #re#}
174    | #laj# | #le# {GOLD: #le#}
175    | #ŋaj# | #ŋej# {GOLD: #nej#}
176    | #taj# | #ke# {GOLD: #kʰej#}
177    | #kʰop# | #kʰɐp# {GOLD: #kʰɐp#}
178    | #ʃaːm# | #saːm# {GOLD: #sam#}
179    | #t͡sɐm# | #t͡sɐm# {GOLD: #t͡sɐm#}
180    | #nap# | #naʔ# {GOLD: #naʔ#}
181    | #cow# | #t͡sow# {GOLD: #t͡sow#}
182    | #kʰaj# | #kʰej# {GOLD: #kʰej#}
183    | #waw# | #wow# {GOLD: #vow#}
184    | #kʰaaŋ# | #kʰi# {GOLD: #kʰi#}
185    | #wu# | #wuk# {GOLD: #vuk#}
186    | #da# | #re# {GOLD: #re#}
187    | #hla# | #le# {GOLD: #le#}
188    | #t͡su# | #t͡suk# {GOLD: #t͡suk#}
189    | #su# | #suk# {GOLD: #suk#}
190    | #su# | #suk# {GOLD: #suk#}
191    | #lɐp# | #lɐp# {GOLD: #reʔ#}
192    | #jwor# | #ju# {GOLD: #ju#}
193    | #lo# | #lu# {GOLD: #lu#}
194    | #sa# | #se# {GOLD: #se#}
195    | #ja# | #je# {GOLD: #je#}
196    | #loj# | #lu# {GOLD: #lu#}
197    | #ʃoj# | #su# {GOLD: #su#}
198    | #rum# | #rɐm# {GOLD: #rɐm#}
199    | #kar# | #ko# {GOLD: #ko#}
200    | #hak# | #hoʔ# {GOLD: #hoʔ#}
201    | #cow# | #t͡sow# {GOLD: #t͡sow#}
202    | #kʰej# | #kʰu# {GOLD: #kʰu#}
203    | #ŋum# | #ŋɐm# {GOLD: #vɐm#}
204    | #t͡sik# | #t͡soʔ# {GOLD: #t͡soʔ#}
205    | #tek# | #keʔ# {GOLD: #keʔ#}
206    | #tla# | #ke# {GOLD: #ke#}
207    | #naj# | #nej# {GOLD: #nej#}
208    | #ʃo# | #su# {GOLD: #su#}
209    | #tʰuur# | #tʰu# {GOLD: #tʰu#}
210    | #ʃa# | #se# {GOLD: #se#}
211    | #plaj# | #pej# {GOLD: #pej#}
212    | #sak# | #soʔ# {GOLD: #soʔ#}
213    | #jak# | #joʔ# {GOLD: #joʔ#}
214    | #t͡saːn# | #t͡se# {GOLD: #t͡sej#}
215    | #tʰar# | #tʰo# {GOLD: #tʰo#}
216    | #saːr# | #saː# {GOLD: #sa#}
217    | #wɐt# | #wejʔ# {GOLD: #vejʔ#}
218    | #hwe# | #hwi# {GOLD: #hwi#}
219    | #ʃap# | #saʔ# {GOLD: #saʔ#}
220    | #tʰɐr# | #tʰo# {GOLD: #tʰo#}
221    | #kʰow# | #kʰow# {GOLD: #kʰow#}
222    | #tʰuk# | #tʰuʔ# {GOLD: #tuʔ#}
223    | #paj# | #pej# {GOLD: #pej#}
224    | #ʃuŋ# | #su# {GOLD: #suŋ#}
225    | #jon# | #jɐŋ# {GOLD: #jɐŋ#}
226    | #nem# | #nem# {GOLD: #nem#}
227    | #lum# | #lɐm# {GOLD: #lɐm#}
228    | #tʰeŋ# | #tʰe# {GOLD: #tʰe#}
229    | #hrit# | #rejʔ# {GOLD: #rejʔ#}
230    | #bʷeŋ# | #ve# {GOLD: #vi#}
231    | #t͡si# | #t͡sik# {GOLD: #t͡sik#}
232    | #mej# | #mu# {GOLD: #mu#}
233    | #poj# | #pu# {GOLD: #pu#}
234    | #ʔej# | #ʔu# {GOLD: #ʔu#}
235    | #saːŋ# | #si# {GOLD: #si#}
236    | #kɐn# | #kej# {GOLD: #kej#}
237    | #joj# | #ju# {GOLD: #vue#}
238    | #kʰoŋ# | #kʰo# {GOLD: #kʰu#}
239    | #min# | #mɐŋ# {GOLD: #mɐŋ#}
240    | #soj# | #su# {GOLD: #su#}
241    | #mow# | #mow# {GOLD: #mow#}
242    | #dliŋ# | #lɐŋ# {GOLD: #lɐŋ#}
243    | #him# | #hɐm# {GOLD: #hɐm#}
244    | #han# | #hej# {GOLD: #hej#}
245    | #ja# | #je# {GOLD: #ji#}
246    | #si# | #sik# {GOLD: #sik#}
247    | #nam# | #nam# {GOLD: #nam#}
248    | #tʰo# | #tʰu# {GOLD: #tʰu#}
249    | #ʃut# | #sejʔ# {GOLD: #sejʔ#}
250    | #pu# | #puk# {GOLD: #huk#}
251    | #ja# | #je# {GOLD: #je#}
252    | #t͡ser# | #t͡sɐ# {GOLD: #t͡sɐr#}
253    | #tʰin# | #tʰɐŋ# {GOLD: #tʰɐn#}
254    | #ʃok# | #suʔ# {GOLD: #suʔ#}
255    | #caːŋ# | #t͡si# {GOLD: #t͡sa#}
256    | #bet# | #vejʔ# {GOLD: #vejʔ#}
257    | #ʃa# | #se# {GOLD: #t͡se#}
258    | #la# | #le# {GOLD: #le#}
259    | #dak# | #roʔ# {GOLD: #roʔ#}
260    | #ʃu# | #suk# {GOLD: #t͡suk#}
261    | #pʰan# | #pʰej# {GOLD: #pʰej#}
262    | #ʃat# | #sejʔ# {GOLD: #ʃe#}
263    | #kʰa# | #kʰe# {GOLD: #kʰe#}
264    | #bʷu# | #vuk# {GOLD: #vuk#}
265    | #muk# | #muʔ# {GOLD: #muʔ#}
266    | #kor# | #ku# {GOLD: #ku#}
267    | #ta# | #ke# {GOLD: #ke#}
268    | #maj# | #mej# {GOLD: #mej#}
269    | #bʷon# | #vɐŋ# {GOLD: #vɐŋ#}
270    | #cik# | #t͡soʔ# {GOLD: #t͡soʔ#}
271    | #ŋun# | #ŋɐŋ# {GOLD: #ŋun#}
272    | #dlok# | #luʔ# {GOLD: #luʔ#}
