$Proto-Tangkhulic?, Ukhrul
c aː ŋ , c a ŋ 
h l i p , r i p 
r i , r i 
l ɐ p , l ɐ p 
r e ŋ , r e ŋ 
s u m , ʃ i m 
tʰ o w , tʰ u j 
m o j , m u j 
k o w , k u j 
n a p , n ɐ p 
d o m , r o m 
w o k , w o k 
ʃ u ŋ , ʃ u ŋ 
s u n , ʃ u n 
ʃ u p , ʃ u p 
ʃ o j , ʃ u j 
ʃ o , ʃ o 
ʃ o n , ʃ o n 
s a k , s ɐ k 
k a , k a 
k a ŋ , k a ŋ 
k a w , k a w 
kʰ o k , kʰ o k 
kʰ o k , kʰ o k 
ŋ a r , ŋ ɐ r 
n o w , n u j 
t͡s a p , c ɐ p 
n e m , n ɐ m 
p a j , p a j 
p e w , p e w 
pʰ r a , pʰ a 
r e j , r e j 
l a , r a 
r a j , r a j 
h r o j , r u j 
d u , r u 
r e w , r e w 
l o , l o 
h aː ŋ , h a ŋ 
h a w , h a w 
h ɐ ŋ , h ɐ ŋ 
h u r , h u r 
t͡s i m , t͡s i m 
pʰ u ŋ , pʰ u ŋ 
m aː ŋ , m a ŋ 
m i t , m i t 
j a , j a 
j aː m , j a m 
j a ŋ , j ɐ ŋ 
j a p , j ɐ p 
j u , j u 
t e p , t ɐ p 
t e w , t e w 
tʰ a j , tʰ a j 
c i k , c i k 
s a , s a 
h o l , h u j 
k o w , k u j 
kʰ a j , kʰ a j 
h l a , l a 
pʰ e n , pʰ e n 
h w o r , h o r 
m a , m a 
c i , c i 
s a k , s a k 
b a j , p a j 
r u ŋ , r o ŋ 
t e k , t e k 
k a l , k e j 
kʰ o ŋ , kʰ o ŋ 
kʰ o w , kʰ o w 
kʰ u , k u 
r o w , r u j 
