$Proto-Tangkhulic?, Ukhrul
ʃ a p , ʃ ɐ p 
pʰ e , pʰ e 
ʃ u ŋ , ʃ u ŋ 
l e j , l e j 
h a l , h a j 
t l a , t a 
h w a , h a 
m i , m i 
tʰ a , tʰ a 
n i ŋ , n i ŋ 
n i r , n i r 
n u k , n u k 
ŋ a , ŋ a 
tʰ a , tʰ a 
kʰ a a ŋ , kʰ a ŋ 
j u , j u 
c a , c a 
bʷ e ŋ , v e ŋ 
d ɨ , r u 
t l i , t i 
tʰ a r , tʰ ɐ r 
tʰ a t , tʰ ɐ t 
d a k , r ɐ k 
tʰ a k , tʰ ɐ k 
j a k , j ɐ k 
m i , m i 
s u , s u 
n i ŋ , n i ŋ 
tʰ u m , tʰ u m 
t͡s i , c i 
m a , m a 
l o j , l u j 
l i , l i 
j o j , j u j 
j a , j a 
n a m , n ɐ m 
c o w , c u j 
pʰ a a r , pʰ a r 
h r i ŋ , r i ŋ 
k e j , k e j 
