etID  | Input | Stage 1 | Stage 2 | Output {GOLD}
196    | #sa# | #sa# | #sa# | #sa# {GOLD: #sa#}
197    | #saam# | #saam# | #saɐm# | #saɐm# {GOLD: #sam#}
198    | #saar# | #saar# | #saɐr# | #saɐr# {GOLD: #sar#}
199    | #saaŋ# | #saaŋ# | #saɐŋ# | #saɐŋ# {GOLD: #saŋ#}
200    | #sam# | #sam# | #sɐm# | #sɐm# {GOLD: #sɐm#}
201    | #sak# | #sak# | #sɐk# | #sɐk# {GOLD: #sɐk#}
202    | #sak# | #sak# | #sɐk# | #sɐk# {GOLD: #sak#}
203    | #se# | #se# | #se# | #se# {GOLD: #si#}
204    | #si# | #si# | #si# | #si# {GOLD: #ci#}
205    | #si# | #si# | #si# | #si# {GOLD: #si#}
206    | #sik# | #sik# | #sik# | #sik# {GOLD: #sik#}
207    | #sik# | #sik# | #sik# | #sik# {GOLD: #sik#}
208    | #soj# | #soj# | #suj# | #suj# {GOLD: #suj#}
209    | #su# | #su# | #su# | #su# {GOLD: #su#}
210    | #su# | #su# | #su# | #su# {GOLD: #su#}
211    | #sun# | #sun# | #sun# | #sun# {GOLD: #sun#}
212    | #sun# | #sun# | #sun# | #sun# {GOLD: #ʃun#}
213    | #sum# | #sum# | #sum# | #sum# {GOLD: #ʃim#}
214    | #t͡sa# | #t͡sa# | #t͡sa# | #t͡sa# {GOLD: #t͡sa#}
215    | #t͡sa# | #t͡sa# | #t͡sa# | #t͡sa# {GOLD: #t͡sa#}
216    | #t͡saan# | #t͡saan# | #t͡saɐn# | #t͡saɐn# {GOLD: #t͡sɐn#}
217    | #t͡saat# | #t͡saat# | #t͡saɐt# | #t͡saɐt# {GOLD: #t͡sɐn#}
218    | #t͡saat# | #t͡saat# | #t͡saɐt# | #t͡saɐt# {GOLD: #t͡sat#}
219    | #t͡saaŋ# | #t͡saaŋ# | #t͡saɐŋ# | #t͡saɐŋ# {GOLD: #t͡sɐŋ#}
220    | #t͡sap# | #t͡sap# | #t͡sɐp# | #t͡sɐp# {GOLD: #cɐp#}
221    | #t͡sar# | #t͡sar# | #t͡sɐr# | #t͡sɐr# {GOLD: #t͡sɐr#}
222    | #t͡saŋ# | #t͡saŋ# | #t͡sɐŋ# | #t͡sɐŋ# {GOLD: #t͡sɐŋ#}
223    | #t͡sɐt# | #t͡sɐt# | #t͡sɐt# | #t͡sɐt# {GOLD: #t͡sat#}
224    | #t͡sɐt# | #t͡sɐt# | #t͡sɐt# | #t͡sɐt# {GOLD: #t͡sat#}
225    | #t͡sej# | #t͡sej# | #t͡sej# | #t͡sej# {GOLD: #t͡sej#}
226    | #t͡ser# | #t͡ser# | #t͡ser# | #t͡ser# {GOLD: #cor#}
227    | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #t͡si#}
228    | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #ci#}
229    | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #ci#}
230    | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #ci#}
231    | #t͡sim# | #t͡sim# | #t͡sim# | #t͡sim# {GOLD: #t͡sim#}
232    | #t͡sik# | #t͡sik# | #t͡sik# | #t͡sik# {GOLD: #t͡sik#}
233    | #t͡siŋ# | #t͡siŋ# | #t͡siŋ# | #t͡siŋ# {GOLD: #t͡siŋ#}
234    | #t͡su# | #t͡su# | #t͡su# | #t͡su# {GOLD: #t͡su#}
235    | #ʃa# | #ʃa# | #ʃa# | #ʃa# {GOLD: #ʃa#}
236    | #ʃa# | #ʃa# | #ʃa# | #ʃa# {GOLD: #ʃa#}
237    | #ʃa# | #ʃa# | #ʃa# | #ʃa# {GOLD: #ʃa#}
238    | #ʃap# | #ʃap# | #ʃɐp# | #ʃɐp# {GOLD: #ʃap#}
239    | #ʃat# | #ʃat# | #ʃɐt# | #ʃɐt# {GOLD: #ʃat#}
240    | #ʃaj# | #ʃaj# | #ʃaj# | #ʃaj# {GOLD: #ʃaj#}
241    | #ʃaŋ# | #ʃaŋ# | #ʃɐŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
242    | #ʃaŋ# | #ʃaŋ# | #ʃɐŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
243    | #ʃɐt# | #ʃɐt# | #ʃɐt# | #ʃɐt# {GOLD: #ʃat#}
244    | #ʃɐŋ# | #ʃɐŋ# | #ʃɐŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
